Symbol,Price,Market Cap (₹ Cr),PE,ForwardPE,PB,ROE (%),ROCE (%),DebtToEquity,30D High,30D Low,52WeekHigh,52WeekLow
"RELIANCE.NS
",1310.0,,23.69754,18.31015,1.9609458,,8.99,36.653,1345.9000244140625,1249.800048828125,1611.8,1249.8
"TCS.NS
",2361.0,,17.152199,14.535692,7.791719,47.74,54.93,10.211,2495.0,2145.39990234375,3350.0,1976.8
"INFY.NS
",1169.2,473540.0,15.129399,14.626161,5.1641717,32.0,41.66,9.541,1195.0,1013.9000244140625,1728.0,982.4
WHIRLPOOL.NS,779.5,9893.0,39.408493,22.229383,2.3774595,,9.01,8.621,841.0,754.0,1437.0,753.15
WIPRO.NS,184.0,182024.0,14.614774,13.232812,2.3493361,16.13,17.85,27.398,191.33999633789062,170.84878345131204,273.1,169.0
ZAGGLE.NS,201.5,2715.0,19.658537,10.874257,2.0735145,10.45,13.46,3.884,217.8000030517578,198.5,417.6,186.05
WAAREEENER.NS,2682.0,77148.0,20.243036,16.209797,5.3405232,,30.63,21.402,2854.199951171875,2561.0,3865.0,2403.0
WCIL.NS,86.3,880.0,22.650919,,1.0148405,4.58,8.02,26.012,97.80000305175781,85.0,147.29,77.02
TMPV.NS,334.5,123193.0,,6.9664335,1.0991142,,0.55,70.364,353.20001220703125,318.25,739.7,294.3
TTML.NS,38.58,7542.0,203.05264,,-0.37762445,,-6.8,,42.81999969482422,38.0,60.89,31.22
UPL.NS,563.0,47589.0,23.0927,11.94839,1.3698031,,9.94,57.128,625.0499877929688,558.0499877929688,812.2,558.05
VEEDOL.NS,1507.8,2562.0,13.377695,,2.4743874,,22.19,1.534,1565.0,1373.0,2035.0,1238.2
VISACHROME.NS,37.85,552.0,0.44088525,,-0.52405673,,-583.89,,41.9900016784668,36.099998474121094,73.68,27.05
TATAELXSI.NS,3772.7,23504.0,35.841724,26.242285,7.727728,,26.25,5.336,3857.0,3353.89990234375,5950.0,3353.9
TATAPOWER.NS,382.05,122078.0,31.652859,22.79238,3.0924454,,8.53,168.051,390.3999938964844,367.8500061035156,464.9,342.5
TATASTEEL.NS,183.5,228904.0,20.757917,10.251397,2.242125,,11.32,89.017,193.64999389648438,180.0,224.4,153.05
TCS.NS,2361.0,,17.152199,14.535692,7.791719,47.74,54.93,10.211,2495.0,2145.39990234375,3350.0,1976.8
SYNGENE.NS,401.0,16140.0,72.90909,37.622448,3.3304265,,8.28,9.473,432.0,375.25,684.6,375.25
TAJGVK.NS,342.25,2146.0,5.18482,118.017235,2.0999122,,27.08,9.027,374.0,341.0,512.65,281.35
TATACONSUM.NS,1079.5,106837.0,65.34503,45.14449,4.9029403,,8.29,12.159,1123.4000244140625,1054.300048828125,1282.7,1007.2
ROTO.NS,66.06,1248.0,50.427483,,5.181583,,15.83,13.234,72.08000183105469,64.5999984741211,89.8,47.5
RPOWER.NS,23.0,,,,0.5930586,,4.48,92.348,25.399999618530273,22.90999984741211,50.85,20.17
SAMMAANCAP.NS,152.25,17489.0,,,0.6553686,,-4.26,273.033,169.36000061035156,152.0,192.95,116.7
RELIANCE.NS,1310.0,,23.69754,18.31015,1.9609458,,8.99,36.653,1345.9000244140625,1249.800048828125,1611.8,1249.8
NETWEB.NS,5007.0,28510.0,108.68244,60.420155,39.314373,,39.27,39.019,5269.0,4112.436672647603,5269.0,2037.3
NTPC.NS,340.0,329687.0,10.394375,12.019694,1.6233456,,8.95,118.127,353.95001220703125,335.3500061035156,414.4,315.55
PARAGMILK.NS,211.35,2674.0,20.884388,13.292454,2.098475,,15.55,48.262,237.13999938964844,210.0,376.95,177.84
MARKSANS.NS,335.85,15220.0,29.486391,23.875586,5.034327,,17.54,11.248,336.6000061035156,239.64999389648438,336.6,155.0
MIRCELECTR.NS,38.22,1412.0,,,7.2358956,,-20.46,32.644,41.0,35.2599983215332,49.23,13.69
MMFL.NS,590.0,2849.0,28.836756,15.012723,2.9209945,10.56,11.9,126.624,664.0,511.04998779296875,664.0,288.1
NATCOPHARM.NS,907.0,16245.0,14.205169,19.846827,1.7614318,,16.26,7.742,984.9500122070312,903.25,1226.8,789.0
NELCO.NS,1026.0,2341.0,625.60974,,18.17248,,6.76,56.54,1075.0999755859375,841.2000122070312,1075.1,500.1
LTM.NS,4715.0,139781.0,26.738121,20.51093,5.697541,21.97,25.39,9.874,4850.0,3913.800048828125,6429.5,3528.0
LXCHEM.NS,175.6,4868.0,38.678417,23.105265,2.4510078,,4.36,27.344,203.8000030517578,161.72472733825413,241.0,107.6
KPITTECH.NS,614.0,16715.0,28.812765,19.503263,4.7204623,,21.27,23.624,657.1015157894146,538.453356900547,1328.0,543.0
LGEINDIA.NS,1736.1,117842.0,64.75569,44.046535,15.372831,,27.64,5.99,1736.0999755859375,1484.800048828125,1749.0,1304.1
IRB.NS,19.27,23274.0,24.70513,13.612314,1.0900555,,5.97,95.6,20.98773995254485,19.059999465942383,23.95,19.06
IRCTC.NS,497.1,39768.0,28.552557,22.191965,9.229999,,41.15,1.874,527.0,485.29998779296875,739.0,485.3
JIOFIN.NS,249.05,164451.0,77.58567,55.84081,1.1778978,,1.74,16.286,267.5733794386435,230.66979863035053,333.7,223.3
KAYNES.NS,3660.2,24605.0,71.43247,40.719547,5.279122,,12.02,19.168,3963.199951171875,3131.0,7705.0,2995.0
IDEAFORGE.NS,820.85,4079.0,912.05554,24.213863,5.9917374,,-2.62,13.974,946.9500122070312,769.7999877929688,992.25,366.0
IOC.NS,139.4,,5.703764,7.4349914,0.8744088,,20.53,58.446,143.91730631439802,135.49239552652375,188.96,130.22
IRB.NS,19.27,23274.0,24.70513,13.612314,1.0900555,,5.97,95.6,20.98773995254485,19.059999465942383,23.95,19.06
INFY.NS,1169.2,473540.0,15.129399,14.626161,5.1641717,32.0,41.66,9.541,1195.0,1013.9000244140625,1728.0,982.4
HEXT.NS,569.1,34703.0,26.069628,20.387413,5.170581,21.47,24.03,10.18,622.7999877929688,532.0,829.4,400.2
HINDUNILVR.NS,2077.0,488010.0,46.08387,39.017437,10.012727,,22.15,3.016,2213.0,2016.0,2750.0,2016.0
ICICIAMC.NS,3100.0,153220.0,44.084187,33.174107,36.73334,,98.3,4.066,3287.699951171875,3020.5,3611.0,2530.0
EXIDEIND.NS,475.8,40443.0,43.452053,25.697193,2.9085617,,8.81,11.308,496.3999938964844,417.79998779296875,496.4,287.0
GPIL.NS,235.8,15341.0,18.788845,10.4800005,2.493655,,18.0,7.582,255.1470386106383,227.37164553446593,320.0,197.1
GRINFRA.NS,871.35,8431.0,8.299362,8.958313,0.89887345,,12.36,51.877,948.7999877929688,853.9500122070312,1345.0,785.0
HCLTECH.NS,1360.0,367984.0,21.1871,16.978485,4.9800277,24.07,27.21,7.058,1379.800048828125,1132.9335388810666,1780.1,1030.0
DABUR.NS,405.25,71890.0,36.509007,30.752243,6.294363,,20.8,10.907,438.0,405.04998779296875,577.0,403.35
DMART.NS,4060.0,264812.0,86.19958,58.91826,10.799423,,16.41,9.913,4124.89990234375,3755.10009765625,4949.5,3529.0
EIHOTEL.NS,300.25,18777.0,26.384007,21.757246,3.5681603,,16.23,4.666,340.4550646170672,297.70001220703125,434.8,271.15
ELECTCAST.NS,70.75,4374.0,36.28205,16.453487,0.738379,,5.1,26.35,76.91785530011613,68.66113847583345,108.71,60.15
BHEL.NS,421.7,146839.0,60.24286,30.59493,5.6160026,,6.6,31.312,446.5,395.5,446.5,205.12
BPCL.NS,319.45,136488.0,7.9683213,8.00292,1.3629984,,26.36,54.332,329.95001220703125,302.04998779296875,391.65,266.6
BRIGADE.NS,585.25,19089.0,29.617914,16.067066,27.984985,,9.78,84.316,619.4500122070312,513.822650360793,802.0125,450.75
BAJAJELEC.NS,362.9,4188.0,,22.776827,2.6267598,,-1.92,84.783,407.5,321.1000061035156,653.8,301.0
BATAINDIA.NS,756.0,9717.0,66.666664,35.8874,6.0896535,,11.23,86.9,767.9500122070312,658.4248731504676,1282.5,605.0
ALIVUS.NS,1394.9,17125.0,28.415155,22.762892,5.1468906,,21.78,1.704,1418.0,1086.0999755859375,1418.0,819.0
